#1 Tower made by automatic script on 02-Jun-2023
r	m	x_cg	y_cg	ri_x	ri_y	x_sh	y_sh	E	G	I_x	I_y	I_p	k_x	k_y	A	pitch	x_e	y_e
$1 20 Flexible
65.001	6.1972E+03	0.0000E+00	0.0000E+00	2.8715E+00	2.8715E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	6.1227E+00	6.1227E+00	1.2245E+01	5.0536E-01	5.0536E-01	7.4253E-01	0.0000E+00	0.0000E+00	0.0000E+00
78.000	5.6165E+03	0.0000E+00	0.0000E+00	2.6025E+00	2.6025E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	4.5579E+00	4.5579E+00	9.1158E+00	5.0591E-01	5.0591E-01	6.7296E-01	0.0000E+00	0.0000E+00	0.0000E+00
78.001	5.2535E+03	0.0000E+00	0.0000E+00	2.6032E+00	2.6032E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	4.2655E+00	4.2655E+00	8.5310E+00	5.0552E-01	5.0552E-01	6.2946E-01	0.0000E+00	0.0000E+00	0.0000E+00
91.000	4.9103E+03	0.0000E+00	0.0000E+00	2.4331E+00	2.4331E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	3.4829E+00	3.4829E+00	6.9659E+00	5.0591E-01	5.0591E-01	5.8834E-01	0.0000E+00	0.0000E+00	0.0000E+00
91.001	4.3342E+03	0.0000E+00	0.0000E+00	2.4342E+00	2.4342E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	3.0772E+00	3.0772E+00	6.1543E+00	5.0521E-01	5.0521E-01	5.1931E-01	0.0000E+00	0.0000E+00	0.0000E+00
104.000	4.2328E+03	0.0000E+00	0.0000E+00	2.3773E+00	2.3773E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	2.8663E+00	2.8663E+00	5.7326E+00	5.0534E-01	5.0534E-01	5.0717E-01	0.0000E+00	0.0000E+00	0.0000E+00
104.001	3.6734E+03	0.0000E+00	0.0000E+00	2.3784E+00	2.3784E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	2.4898E+00	2.4898E+00	4.9796E+00	5.0463E-01	5.0463E-01	4.4014E-01	0.0000E+00	0.0000E+00	0.0000E+00
117.000	3.5773E+03	0.0000E+00	0.0000E+00	2.3162E+00	2.3162E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	2.2995E+00	2.2995E+00	4.5989E+00	5.0475E-01	5.0475E-01	4.2862E-01	0.0000E+00	0.0000E+00	0.0000E+00
117.001	4.1201E+03	0.0000E+00	0.0000E+00	2.3151E+00	2.3151E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	2.6459E+00	2.6459E+00	5.2917E+00	5.0548E-01	5.0548E-01	4.9367E-01	0.0000E+00	0.0000E+00	0.0000E+00
129.386	4.0748E+03	0.0000E+00	0.0000E+00	2.2896E+00	2.2896E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	2.5595E+00	2.5595E+00	5.1191E+00	5.0554E-01	5.0554E-01	4.8824E-01	0.0000E+00	0.0000E+00	0.0000E+00
